english,chinese,symbol,symbol_br,phrase,similar,unit
beef,n.牛肉,bif,bi:f,,,unit-03
before,"adv.在前,以前 prep.在...之前 conj.在...之前,与其...宁可","bɪ`for,bə_,_`fɔr","biˈfɔ:,bə_",,,unit-03
begin,"v.开始,首先",bɪ`gɪn,biˈɡin,,,unit-03
behind,adv.在后地 prep.在...之后,bɪ`haɪnd,"biˈhaind,bə_",,,unit-03
believe,"v.有坚定的宗教信仰的,相信,信任,认为,想","bə`liv,bɪ_","biˈli:v,bə_",,,unit-03
bell,"n.铃,钟",bɛl,bel,,,unit-03
beside," prep.在旁边,和...比较",bɪ`saɪd,biˈsaid,,,unit-03
bet,"n.赌,打赌v.赌,赌钱",bɛt,bet,,,unit-03
between," prep.在...之间,连接...,由...协力合作",bə`twin,"biˈtwi:n,bə_",,,unit-03
big,"adj.大的,重要的,量大的,重要的adv.夸大地,顺利",bɪg,biɡ,,,unit-03
bike,"n.脚踏车,自行车",baɪk,baik,,,unit-03
bird,"n.鸟,<俚>人vi.在野外观察或鉴别鸟类",bʒd,bə:d,,,unit-03
birthday,n.生日,`bʒθˌde,ˈbə:θdei,,,unit-03
bite,咬,,,,,unit-03
blackboard,n.黑板,"`blækˌbord,-ˌbɔrd",ˈblækbɔ:d,,,unit-03
blanket,n.毯子vt.覆盖,`blæŋkɪt,ˈblæŋkit,,,unit-03
blind,"adj.瞎的,盲目的vt.使失明,缺乏眼光或判断力",blaɪnd,blaind,,,unit-03
blood,"n.血,血液,血统v.使(某人)先取得经验",,,,,unit-03
blow,"n.殴打,突然的打击v.风吹,吹气于,叫,喘气",,,,,unit-03
board,"n.木板,(供特殊用途的)木板,甲板,膳食费用,会议桌,部vt.用板盖上,包饭,提供膳食,上(船、飞机等)","bord,bɔrd",bɔ:d,,,unit-03
boat,"n.小船,艇v.划船",,,,,unit-03
book,"n.书,书籍,卷,篇,帐簿,名册,工作簿v.登记,预订,控告",,,,,unit-03
bored,"adj.无聊的,无趣的,烦人的,","bord,bɔrd",bɔ:d,,,unit-03
boring,n.钻(孔)adj.令人厌烦的,"`borɪŋ,`bɔr_",ˈbɔ:riŋ,,,unit-03
born,"adj.天生的,原本,天生就...的 vbl.出生",bɔrn,bɔ:n,,,unit-03
borrow,"v.借,借入,借用","`bɔro,`bɑro",ˈbɔrou,,,unit-03
both,"adj.两者,双方的 pron.双方,两者",,,,,unit-03
bottle,n.瓶子vt.用瓶装,`bɑtl,ˈbɔtl,,,unit-03
bottom,"n.底,底部,尽头,末端adj.底部的vt.装底,查明真相,测量深浅vi.到达底部,建立基础",`bɑtəm,ˈbɔtəm,,,unit-03
bowl,"n.碗,碗状物,木球v.滚,(板球)投球",,,,,unit-03
box,"n.盒子,箱,包厢,岗亭,一拳v.装...入盒中,打耳光,拳击",bɑks,bɔks,,,unit-03
boy,"n.男孩,儿子,孩子气的人,男仆",bɔɪ,bɔi,,,unit-03
brave,adj.勇敢的,brev,breiv,,,unit-04
bread,"n.面包,生计",brɛd,bred,,,unit-04
break,"n.休息,暂停,破裂,突变v.打破,违犯,折断,削弱,超过,突变",brek,breik,take a break: 休息一下,,unit-04
breakfast,n.早餐vi.进早餐,`brɛkfəst,ˈbrekfəst,,,unit-04
bridge,"n.桥,船桥,鼻梁,桥牌vt.架桥,渡过;网桥",brɪdʒ,bridʒ,,,unit-04
bright,"adj.明亮的,辉煌的,欢快的,聪明的,伶俐的",braɪt,brait,,,unit-04
bring,"vt.拿来,带来,产生,引起,提出(诉讼)vi.停下",brɪŋ,briŋ,,,unit-04
broom,"n.扫帚,[植]金雀花vt.扫除",,,,,unit-04
brush,"n.刷子,毛刷,画笔vt.刷,掸,拂",,,,,unit-04
build,"v.建造,建筑n.构造,体格,体形",bɪld,bild,,,unit-04
burn,"v.烧,烧焦,点(灯),使感觉烧热n.烧伤,灼伤",bʒn,bə:n,,,unit-04
bus,"n.公共汽车,总线",,,,,unit-04
businessman,n.商人,ˌmæn,_mæn,,,unit-04
busy,"adj.忙碌的,热闹的,临时占用的",`bɪzɪ,ˈbizi,,,unit-04
but," prep.除...以外 conj.而是,但是adv.几乎,仅仅",,,,,unit-04
buy,"v.买n.购买,买卖",baɪ,bai,,,unit-04
by," prep.在附近,在旁边,经,由,依据,按照,通过,用adv.通过,经过,附近 [域] Belarus,白俄罗斯",,,,,unit-04
cage,"n.笼,槛,(矿井)贯笼",kedʒ,keidʒ,,,unit-04
cake,"n.蛋糕,饼,块,",kek,keik,,,unit-04
call,"n.喊声,叫声,命令,号召,访问,叫牌,通话,必要v.呼叫,召集,称呼,认为,命名,打电话",kɔl,kɔ:l,call on the phone: 打电话; call out: 召集; call up: 回忆起,,unit-04
camera,n.照相机,`kæmərə,ˈkæmərə,,,unit-04
camp,"n.露营地,阵营vi.露营,扎营",kæmp,kæmp,,,unit-04
can,"vt.装进罐中,把食品装罐n.罐头,铁罐 conj.能,可以",,,,,unit-04
candle,n.蜡烛vt.对着光检查,`kændl,ˈkændl,,,unit-04
candy,"n.糖果,冰糖v.蜜饯,糖煮(水果)",`kændɪ,ˈkændi,,,unit-04
capital,"n.首都,首府,大写字母,资本,资金,资产adj.首都的,重要的,死罪的,大写的,<口>极好的",`kæpətl,ˈkæpitl,,,unit-04
car,"n.汽车,小汽车,车辆,客车,[铁]车厢",kɑr,kɑ:,,,unit-04
card,"n.纸牌,卡片",kɑrd,kɑ:d,,,unit-04
care,"n.注意,照料,烦恼,忧虑,由...转交vi.关心,顾虑,照顾,喜爱vt.在意","kɛr,kær",kɛə,,,unit-04
careful,"adj.小心的,仔细的",`kɛrfəl,ˈkɛəful,,,unit-04
carry,"n.进位,射程,运载vt.携带,运送,支持,支撑,传送,意味vi.被携带,能达到",`kærɪ,ˈkæri,,,unit-04
cartoon,"n.(报刊上的)政治性漫画,讽刺画,卡通画,漫画(常有解说词)v.画漫画n.卡通片,动画片",kɑr`tun,kɑ:ˈtu:n,,,unit-04
case,"n.事,病例,案例,情形,场合,讼案,容器,(语法)格",kes,keis,,,unit-04
cat,猫,,,,,unit-04
catch,"n.捕捉,捕获物,(窗)钩v.捕获,赶上(车船等),发觉,感染(疾病)vi.抓住,燃着",kætʃ,kætʃ,catch a cold: 感冒; catch up with: 赶上...; catch a bus: 赶公交车,,unit-04
cave,"n.洞穴,窑洞vi.凹陷,投降vt.挖洞,使凹陷",kev,keiv,,,unit-05
celebrate,"v.庆祝,祝贺,表扬,赞美,举行",`sɛləˌbret,ˈselibreit,,,unit-05
centre,"n.中心,中央,中心区v.集中",`sɛntɚ,ˈsentə,,,unit-05
central,"adj.中心的,中央的,重要的,主要的,中枢的,走中间道路的n.<美>电话总机",`sɛntrəl,ˈsentrəl,,,unit-05
chance,"n.机会,可能性,偶然性,运气v.碰巧,偶然发生,冒...的险adj.偶然的",tʃæns,tʃɑ:ns,,,unit-05
change,"n.改变,变化,转变,找回的零钱,找头,辅币vt.改变,变革,改造,兑换",tʃendʒ,tʃeindʒ,,,unit-05
cheap,"adj.便宜的,不值钱的",tʃip,tʃi:p,,,unit-05
check,"n.阻止,制止,控制,阻止物,支票,检讫的记号,饭馆的帐单vt.检查,制止,核对,寄存,托运vi.证明无误,核对无误,逐项相符,[象棋]将军",tʃɛk,tʃek,,,unit-05
cheer,"n.愉快,欢呼v.(使)快活,(对)欢呼",tʃɪr,tʃiə,,,unit-05
chess,n.国际象棋,tʃɛs,tʃes,,,unit-05
child,"n.孩子,儿女,子孙,(头脑、空想等的)产物,弟子,追随者",tʃaɪld,tʃaild,,,unit-05
children,"n.(pl.)孩子,孩子们",`tʃɪldrən,ˈtʃildrən,,,unit-05
choose,"v.选择,选定",,,,,unit-05
chopstick,筷子,,,,,unit-05
church,"n.教堂,礼拜堂,教会,教派,[宗]礼拜",tʃʒtʃ,tʃə:tʃ,go to church,,unit-05
cinema,"n.电影院,电影",`sɪnəmə,ˈsinəmə,,,unit-05
circle,"n.圆周,圆形物,派系,循环v.围,环绕 盘旋",`sʒkl,ˈsə:kl,,,unit-05
city,"n.城市,都市,全体居民,城邦",`sɪtɪ,ˈsiti,,,unit-05
class,"n.班级,阶级,社会等级,种类,(一节)课vt.把...分类(或分等级)",,,,,unit-05
classmate,n.同班同学,`klæsˌmet,ˈklɑ:smeit,,,unit-05
classroom,n.教室,`klæsˌrum,ˈklɑ:sru:m,,,unit-05
clean,"adj.清洁的,干净的,清白的v.打扫,使干净,清扫",klin,kli:n,,,unit-05
clear,"adj.清楚的,清晰的,清澈的,光亮的,空旷的,有条理的adv.清楚地,完全地v.扫除,清除,晴,跳过,净得",klɪr,kliə,,,unit-05
clever,"adj.机灵的,聪明的",`klɛvɚ,ˈklevə,,,unit-05
climb,"v.攀登,爬n.攀登,爬",klaɪm,klaim,,,unit-05
clock,n.时钟,klɑk,klɔk,,,unit-05
close,"v.关,关闭,结束,停止,使靠近,靠拢,会合,包围n.结束adj.近的,紧密的,精密的,齐根的,封闭的,亲密的,闷气的adv.接近,紧密地",,,,,unit-05
clothes,"n.衣服,[总称]被褥,各种衣服,<美俚>家丑",,,,,unit-05
cloud,"n.云,烟云,(pl.)天空,污点vt.以云遮敝,玷污,使黯然vi.乌云密布,阴沉",,,,,unit-05
cloudy,"adj.多云的,阴天的,阴沉",`klaʊdɪ,ˈklaudi,,,unit-05
club,"n.俱乐部,夜总会,社,棍棒,(高尔夫球等的)球棒,(扑克牌)梅花vt.棍打,协作,联合,把...当棍棒用",,,,,unit-05
coach,"n.四轮大马车,长途汽车,教练v.训练,指导",,,,,unit-05
coal,n.煤v.加煤,,,,,unit-05
coin,n.硬币vt.铸造(硬币),kɔɪn,kɔin,,,unit-05
cold,"n.寒冷,[物]零下温度,伤风,感冒adj.寒冷的,使人战栗的,冷淡的,不热情的,失去知觉的",,,,,unit-05
collect,"v.收集,聚集,集中,搜集adj.由收件人付款的adv.由收件人付款地",kə`lɛkt,kəˈlekt,,,unit-05
colour,"n.<英>(=color)颜色,气色,风格,外貌vt.把...涂颜色,粉饰,脸红,歪曲vi.变色",`kʌlɚ,ˈkʌlə,,,unit-06
comb,"n.梳子,梳,鸡冠,蜂巢vi.梳(发),搜索",,,,,unit-06
come,"vi.来,来临,到达,出现,来(自),出生(于),开始int.嗨! vbl.来,到达,合计为",,,,,unit-06
comfortable,adj.舒适的,`kʌmfɚtəbl,ˈkʌmfətəbl,,,unit-06
computer,"n.计算机,电脑",kəm`pjutɚ,kəmˈpju:tə,,,unit-06
concert,"n.音乐会,一致","`kɑnsʒt,_sɚt",ˈkɔnsət,,,unit-06
cook,"n.厨师v.烹调,煮,伪造",,,,,unit-06
cool,"n.凉爽,凉爽的空气adj.凉爽,冷静的,无所顾虑的,淡漠的v.使冷,使镇定",,,,,unit-06
copy,"n.副本,拷贝,摹仿,一册v.复印,复制,拷贝,抄袭",`kɑpɪ,ˈkɔpi,,,unit-06
corner,"n.角落,(街道)拐角处,(遥远的)地区,偏僻处,困境,绝路vt.迫至一隅,垄断,使陷入绝境,把...难住vi.相交成角,囤积(in)",`kɔrnɚ,ˈkɔ:nə,,,unit-06
correct,"adj.正确的,恰当的,端正的vt.改正,纠正,告诫,惩戒",kə`rɛkt,kəˈrekt,,,unit-06
cost,"n.成本,价钱,代价vt.价值为,(使)花费(金钱,时间,劳力等),使失去(生命,健康等),令人付出vi.花费",kɔst,kɔst,,,unit-06
count,"v.数,计算,计算在内,认为,有价值n.计数,计算,注意,伯爵",,,,,unit-06
country,"n.国家,国土,[总称]国民,乡村,故乡adj.乡下的,乡村的,[方]祖国的,故乡的",`kʌntrɪ,ˈkʌntri,,,unit-06
countryside,"n.乡下地方,乡下居民",`kʌntrɪˌsaɪd,ˈkʌntrisaid,,,unit-06
cover,"n.盖子,封面,藉口vt.覆盖,铺,掩饰,保护,掩护,包括,包含,适用vi.覆盖,涂,代替",`kʌvɚ,ˈkʌvə,,,unit-06
crayon,"n.有色粉笔,蜡笔,粉笔画",`kreən,ˈkreiən,,,unit-06
crop,"n.农作物,产量,平头,短发vt.收割,修剪,种植vi.收获",krɑp,krɔp,,,unit-06
cross,"n.十字,交叉,十字架,十字形物adj.交叉的,相反的,乖戾的v.使交叉,横过,勾划,错过,反对,杂交",krɔs,krɔs,cross the street,,unit-06
cry,"vi.哭,流泪v.叫,喊n.哭泣,哭声,叫喊,喊声",kraɪ,krai,,,unit-06
culture,"n.文化,文明",`kʌltʃɚ,ˈkʌltʃə,Chinese culture,,unit-06
cup,"n.杯子,酒杯,奖杯vt.使成杯状,为...拔火罐",,,,,unit-06
cut,"v.切(割、削),(直线等)相交,剪,截,刺穿,刺痛,删节,开辟n.(刀、剑、鞭等的)切削,削减,删节,伤口,切口",,,,,unit-06
cute,"adj.可爱的,聪明的,伶俐的,装腔作势的",,,,,unit-06
dance,"n.跳舞,舞蹈,舞会,舞曲,舞蹈艺术v.跳舞,舞蹈,(旗等)飘扬",dæns,dɑ:ns,,,unit-06
danger,"n.危险,危险物,威胁",`dendʒɚ,ˈdeindʒə,in danger: 处于危险中,,unit-06
dangerous,adj.危险的,"`dendʒərəs,_dʒrəs",ˈdeindʒərəs,Tigers are dangerous,,unit-06
dark,"n.黑暗,夜,黄昏,暗色,无知,模糊adj.黑暗的,暗的,(头发、皮肤等)黑色的,隐秘的,无知的,隐晦的,模糊的",dɑrk,dɑ:k,,,unit-06
date,"n.日期,日子,(历史上某一)年代,时期,约会,枣椰子vt.约会,定日期vi.注明...的日期,过时 [计] 显示或设置系统日期",det,deit,,,unit-06
day,"n.天,白天,日子,白昼,黎明,工作日,节日,重要日子",de,dei,,,unit-06
dead,"adj.死的,无感觉的,呆板的,不流动的,(语言、习惯)废弃了的,熄灭的n.死者adv.完全地,绝对的,突然的",dɛd,ded,,,unit-06
deaf,adj.聋的,dɛf,def,,,unit-06
dear,"adj.昂贵的,亲爱的int.[表示惊讶,怜悯等],Oh,～!",dɪr,diə,,,unit-06
decide,"v.决定,判决",dɪ`saɪd,diˈsaid,decide to do sth.,,unit-06
deep,"adj.深的,纵深的,远离中心的,深奥的,难懂的,(指人)诡计多端的,低沉的(声音)adv.深入地,迟n.深渊,深处",dip,di:p,The water is deep,,unit-06
degree,"n.度数,度,程度,[律](罪行的)轻重,学位,地位,身份,[数]次数",dɪ`gri,diˈɡri:,to some degree,,unit-07
delicious,adj.美味的,dɪ`lɪʃəs,diˈliʃəs,,,unit-07
dentist,n.牙科医生,`dɛntɪst,ˈdentist,,,unit-07
desert,"n.沙漠,应得的赏罚,功过adj.沙漠的,不毛的,荒凉的vt.放弃,遗弃,逃跑vi.逃掉,逃亡,开小差",`dɛzɚt,ˈdezət,,,unit-07
diary,n.日记,`daɪərɪ,ˈdaiəri,keep a diary,,unit-07
dictionary,"n.字典,词典",`dɪkʃənˌɛrɪ,"ˈdikʃənri,_ʃənəri",,,unit-07
die,"vi.死亡,消逝,平息,渴望,漠然,熄灭vt.死n.骰子,钢型,硬模,冲模",daɪ,dai,,,unit-07
different,adj.不同的,"`dɪfrənt,_fərənt","ˈdifrənt,_fərənt",,,unit-07
difficult,"adj.困难的,艰难的,(人)难相处的","`dɪfəˌkʌlt,_kəlt",ˈdifikəlt,,,unit-07
dig,"v.掘,挖,钻研,搜集",dɪg,diɡ,,,unit-07
direction,"n.方向,指导,趋势,(常用复数)指示,用法,说明(书),收件人地址","də`rɛkʃən,daɪ_","diˈrekʃən,dai_",,,unit-07
dirty,"adj.肮脏的,卑鄙的,下流的,暴风雨的,恶劣的(天气)vt.弄脏vi.变脏",`dʒtɪ,ˈdə:ti,,,unit-07
dish,"n.盘,碟,盘装菜v.提出 碟形卫星天线",dɪʃ,diʃ,,,unit-07
do,"v.做,实行,尽力,给予,可用,制作,算出,解答 [域] Dominican Republic ,多米尼加共和国",,,,,unit-07
dog,"n.狗,犬,类似犬的动物,卑鄙的人,小人,坏蛋vt.跟踪,尾随",dɔg,dɔɡ,,,unit-07
doll,"n.洋娃娃,玩偶,美丽但无头脑的女子,<俚>美男子","dɑl,dɔl",dɔl,,,unit-07
dollar,"n.元,美元",`dɑlɚ,ˈdɔlə,,,unit-07
door,"n.门,通道,家,户","dor,dɔr",dɔ:,,,unit-07
double,"n.两倍,[计] 双精度型adj.两倍的,双重的vt.使加倍vi.加倍,快步走,加倍努力",,,,,unit-07
dragon,"n.龙,凶暴的人,严厉而有警觉性的女人",`drægən,ˈdræɡən,,,unit-07
draw,"v.拉,曳,牵,画,绘制,拖曳vt.汲取,领取,提取,引起,吸引vi.向...移动,挨近n.平局,和局,拖曳",drɔ,drɔ:,,,unit-07
dream,"v.做梦,梦见,梦想,想到n.梦,梦想",drim,dri:m,,,unit-07
dress,"n.女服,童装,服装,衣服v.(给...)穿衣",drɛs,dres,,,unit-07
drink,"n.饮料,酒,酗酒,一口(或一些)饮料v.喝,喝酒,(植物、土壤等的)吸水,举杯庆贺",drɪŋk,driŋk,,,unit-07
drive,"n.驾车,驱动器,快车道,推进力,驱使,动力,干劲,击球vt.开车,驱赶,推动、发动(机器等),驾驶(马车,汽车等)vi.开车,猛击,飞跑n.[计]驱动器",draɪv,draiv,,,unit-07
drop,"v.滴下,落下,(使声音等)变弱,(使价格等)下降,使跌倒,使结束,不再讨论,停止与(某人)交往n.落下,下降,滴,滴剂,点滴,微量,下跌",drɑp,drɔp,,,unit-07
dry,"adj.干的,干燥的,口渴的vt.(使)干燥,(使)变干v.干燥",draɪ,drai,,,unit-07
dust,"n.灰尘,尘土,尘埃vt.掸掉...上的灰尘,撒糖于糕上",,,,,unit-07
during," prep.在...的期间,在...的时候","`dʊrɪŋ,`djʊrɪŋ",ˈdjuəriŋ,,,unit-07
duty,"n.义务,责任,职责,职务,税","`dutɪ,`dju_",ˈdju:ti,,,unit-07
each,"adj.各自的,每个的,每一 pron.各,各自,每个adv.每个",itʃ,i:tʃ,,,unit-07
early,"adj.早的,早熟的,及早的,早先的,早期的adv.早,在初期",`ʒlɪ,ˈə:li,,,unit-07
earth,"n.地球,陆地,泥土,洞穴,地球上的人类,尘世,[电]接地vt.埋入土中,把...赶入洞内,把...接地vi.躲入洞内",ʒθ,ə:θ,,,unit-07
easy,"adj.容易的,安逸的,舒适的,宽裕的,小康的,从容的,宽容的,流畅的adv.不费力的,轻松,悠闲,慢慢地n.短暂的休息",`izɪ,ˈi:zi,,,unit-07
eat,"v.吃,腐蚀",it,i:t,,,unit-07
egg,"n.蛋,鸡蛋,卵v.怂恿,怂恿",ɛg,eɡ,,,unit-07
either,"adj.任一的,(两方中的)每一方的 pron.任一,随便任一个 conj.或者,也","`iðɚ,`aɪðɚ","ˈi:ðə,ˈaiðə",,,unit-08
else,"adj.别的,其他的adv.另外,其他",ɛls,els,,,unit-08
email,n.电子信函,,,,,unit-08
end,"n.末端,尽头,结束,目标,限度,梢,末端,死亡v.结束,终结,终止",ɛnd,end,,,unit-08
enjoy,"vt.享受...的乐趣,欣赏,喜爱v.满意",ɪn`dʒɔɪ,inˈdʒɔi,,,unit-08
enough,"adj.足够的,充足的,只够做...的n.充足,足够,很多adv.足够地,充分地int.够了!","ə`nʌf,ɪ`nʌf","iˈnʌf,əˈnʌf",,,unit-08
enter,"vt.进入,加入,参加,登录,开始vi.进去,[戏]登场,参加n.输入,[计]回车",`ɛntɚ,ˈentə,,,unit-08
entry,"n.登录,条目,进入,入口,[商]报关手续,[律]对土地的侵占,对房屋的侵入",`ɛntrɪ,ˈentri,,,unit-08
even,"adj.平的,平滑的,偶数的,一致的,平静的,恰好的,平均的,连贯的adv.[加强语气]甚至(...也),连...都,即使,恰好,正当vt.使平坦,使相等vi.变平,相等n.偶数,偶校验",`ivən,ˈi:vn,,,unit-08
ever,"adv.曾经,永远,不断地,在任何时候,究竟",`ɛvɚ,ˈevə,,,unit-08
