english,chinese
a pumpkin lantern,一个南瓜灯
What else do you need?,你还需要些什么？
Here’s your change. ,这儿是你的零钱。
some sweets,一些糖果
on Saturdays and Sundays,在周六和周日
like swimming,喜欢游泳
play table tennis with friends,和朋友打乒乓
watch TV,看电视
listen to music,听音乐
read the book,读书
open the door,开门
write the new words,写新单词
read the book,读书
draw a picture,画一幅画
drink the water,喝水
this red vase,这个红色的花瓶
in the picture,在图片里
eat the noodles,吃面条
put the flowers in the vase,把花放在花瓶里
play computer games,打电脑游戏
do housework,做家务
Sunday morning,星期天上午
at home,在家
Are you free now?,你现在有空吗？
sweep the floor,扫地、擦地板
clean the windows,擦窗户
do homework,做家庭作业
help me with my Maths,帮助我学习数学
this afternoon,今天下午
wash clothes,洗衣服
a camping trip,一次日野营旅行
their teachers,他们的学生
near the hill,在小山附近
a camping site,一个野营营地
a big tent,一个大帐篷
a tin of chicken,一罐头鸡肉
a tin of fish,一罐头鱼肉
over there,在那边
two new blankets,两条新毛毯
a box of chocolate,一盒巧克力
some fruit,一些水果
in the fridge,在冰箱里
an Art lesson,一节美术课
look at the blackboard,看着黑板
fly a kite,放风筝
draw a circle,画一个圆
show us how to draw it,给我们看看怎么画它
on the paper,在纸上
make a card,做一张卡片
many circles,许多圆形
a PE lesson,一节体育课
in the playground,在操场
have a PE lesson,上一节体育课
follow the orders,按照指令
give the orders,发出指令
stand in a line,站成一排
do some exercise,做锻炼
up and down,上下
jump up and down,上下跳
listen carefully,仔细地听
ten times,十次
turn left,向左转
turn right,向右转
do this ten times,做这个十次
put … on,把…放在…上  
put … in,把…放在…里面  
lie on one’s back,仰躺 
lift up,抬起
touch…with,用……触摸 
right hand,右手
every day,每天
a busy day,忙碌的一天
at night,在晚上
on duty,值日
be quick,快点
a football game,一场足球赛
watch TV,看电视
have supper,吃晚饭
clean the library,打扫图书馆
do one’s homework,做作业 
join us,加入我们
classes begin,开始上课
wash clothes,洗衣服
at the weekends,在周末
spend one’s weekends,过周末
talk about,谈论
on Friday afternoon,在星期五下午
after school,放学后
surf  the Internet,上网
learn English from me,向我学英语
listen to music,听音乐
at home,在家
play on the swings,荡秋千
do housework,做家务
of course/ sure,当然
watch cartoons,看卡通
catch insects,抓昆虫
catch butterflies,抓蝴蝶
our good friends,我们的好朋友
a Primary School,一所小学
in the tree/on the tree,在树上
in bottles,在瓶子里
the English Club,英语俱乐部
different countries,不同的国家
live in New York,居住在纽约
speak English,说英语
teach English,教英语
a big city,一个大城市
read books,读书
visit China,参观中国
Japanese visitors,日本参观者
an English friend,一个英国朋友
write an e-mail,发邮件
write a letter,写信
play table tennis,打乒乓
live in,居住
a small town,一个小镇
the same age,相同的年龄
at school,在学校
from Monday to Friday,从周一到周五
speak loudly,大声地说
run fast,跑得快
jump high,跳得高
walk carefully,走路小心
sit quietly,安静地坐
dance beautifully,跳舞跳得美
take photos,拍照
go shopping,购物
collect stamps,收集邮票
collect Chinese stamps,收集中国邮票
grow flowers,种花
make clothes,做衣服
wash clothes,洗衣服
Ben’s hobby,Ben的爱好
some hobbies,一些爱好
many beautiful stamps,许多漂亮的邮票
show … to …,出示…给…看
animal stamps,动物邮票
in the  garden,在花园里
cook food,做饭
water the flowers,浇花
the same hobby,相同的爱好
a telephone call,一次电话通话
after lunch,午饭以后
stay in bed,呆在床上
a bad cough,严重的咳嗽
take some medicine,吃药
go to see a doctor,去看医生
open your mouth,张开你的嘴
have a good rest,好好休息
wrong number,打错电话
a new term,新学期
Monday morning,星期一上午
on Monday morning,在星期一上午
her students,她的学生
the first lesson,第一节课
welcome back to school,欢迎回到学校
what subjects,什么科目
eight subjects,八门课
eight lessons,八节课
in a week,在一周内
at once,立刻，马上
his family,他的家人
feel ill,感觉病了
from Japan,来自日本
No smoking,禁止吸烟
No littering,禁止扔杂物
No parking,禁止停车
No eating and drinking,禁止吃喝
keep off the grass,不接近草坪
Be quiet,保持安静
Do not touch,不要摸
climb trees,爬树
go to the park,去公园
go home,回家
have an ice cream,吃一个冰激凌
have dinner,吃饭
watch TV,看电视
play computer games,玩电脑游戏
go to bed,睡觉
a lot of a lot,大量的；许多
public signs,公共标志
on the wall,在墙上
stay away from,…远离……
walk on the grass,在草地上走
he bird’s cage,鸟笼
make noise,发出噪音
take a walk,散步
a ten-yuan note,一张十元的钞票
look around,四周看
pick up,捡起
a new student in Ben’s class ,本班上的一位新学生
go home together,一起回家
after school,放学以后
talk about,谈论有关……
the third of March,三月三日
your birthday,你的生日
blow out,吹灭
as a birthday present,作为生日礼物
birthday cake,生日蛋糕
come to my birthday party,来参加我的生日聚会
have a birthday party,举办生日聚会
a VCD of Japanese cartoons,一张日本卡通光盘
open the door,开门
make a birthday card,做一张生日贺卡
take off,脱下
Sports Day,运动日
at  weekends,（在周末）
watch cartoons,（看动画片）
visit the zoo,（参观动物园）
play volleyball,打排球
clean the house,（打扫房子）
visit Liu Tao’s grandparents,拜访刘涛的祖父母
camping trip,（野营旅行）
at a camp,（在一个营地上）
cook a lot of food,（做许多食物）
play a lot of games,（玩许多游戏）
go camping,（去野营）
have a good time,（玩得很高兴）
come after,在……之后到来
New Year's Day,元旦
on New Year's Day,在元旦
at Christmas,在圣诞节
go to parties,去参加聚会
have a big lunch,吃一顿丰盛的午餐
at Spring Festival,在春节
What do people usually do at Spring Festival?,人们通常在春节干什么？
visit their relatives and friends,拜访他们的亲戚和朋友
eat lots of delicious food,吃许多美味的食物
last Spring Festival,上个春节
of course,当然
my favourite holiday,我最喜爱的节日
in October,在十月
dress up in costumes,用戏服装扮
last Halloween,去年万圣节
eat moon cakes,吃月饼
play with lanterns,玩灯笼
watch the moon,赏月
on different holidays,在不同的节日
last year,去年
at Easter,在复活节
listen to him,听他讲
in the grass,在草丛中
a popular holiday,一个流行的节日
in China,在中国
in January or February,在一月或二月
eat rice dumplings,吃粽子
like to play with lanterns,喜欢玩灯笼
eat chocolate eggs,吃巧克力蛋
make pumpkin lanterns,制作南瓜灯笼
give presents to your friends,把礼物给你的朋友
go to Beijing,去北京
this afternoon,今天下午
play with balloons,玩气球
sing and dance,唱歌跳舞
meet Helen in the playground,在操场上遇见海伦
visit a farm with my parents,和我的父母一起参观农场
play with friends,和朋友玩
watch the dragon boat races,观看龙舟比赛
on Christmas Day,在圣诞日 
Jim's family,吉姆一家人
in his grandparent's house,在他爷爷奶奶的房子里
Christmas trees,圣诞树
the presents under the Christmas tree,在圣诞树下的礼物
so many,这么多
from grandmother,来自祖母
open it for me,为我打开它
like drinking tea,喜欢喝茶
Christmas presents,圣诞礼物
at Jim's house,在吉姆家
draw and write in the diary,在日记上画和写
go to the supermarket,去超市
sit at the back of the bus,坐在公共汽车的后面
get off,下车
the seat in front of me,在我前面的座位
the woman beside him,在他旁边的妇女
walk to the driver,走向驾驶员
after lunch,午餐后
You are welcome.,不用谢
write his diary,写他的日记
under the seat,在座位下面
open the presents,打开礼物
